序号,企业名称,许可证编号,许可项目,企业住所,生产地址,社会信用代码,法人,企业负责人,质量负责人,发证机关,签发人,日常监督管理机构,日常监督管理人员,有效期至,发证日期,是否进口
11,靖宇县芳雅人参系列化妆品有限公司,吉妆20180012,一般液态单元（护发清洁类）；膏霜乳液单元（护肤清洁类）,靖宇县靖宇镇化北街5-5-2-27,靖宇县经济开发区高速公路出口处,9122062256507439XF,姜海霞,王婧媛,王婧媛,吉林省药品监督管理局,刘宝芳,靖宇县市场监督管理局,欧东旭、徐善华、柴锡霞,2023-11-14,2020-09-08,N
12,天津科丝美特生物科技有限公司,津妆20160059,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；牙膏单元（牙膏类）,西青区李七庄街天祥工业区祥遵路2号,天津市西青区李七庄街天祥工业区祥遵路2号,911201116974366636,闫金刚,张晓宇,王娟,天津市市场和质量监督管理委员会,,天津市西青区市场和质量监督管理局,张凤安、赵泰林,2021-12-27,2020-09-07,N
13,超力健(天津)化妆品有限公司,津妆20160035,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,天津市津南区长青科工贸园区重庆街17号厂房二楼,天津市津南开发区长青科工贸园区8号,91120116722982253B,李士军,李士军,李士军,天津市市场和质量监督管理委员会,,天津市滨海新区市场和质量监督管理局开发区分局,陈涛、刘桐,2021-12-26,2020-09-07,N
14,蒲公英（江苏）化妆品有限公司,苏妆20160181,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；气雾剂及有机溶剂单元（气雾剂类、有机溶剂类）,兴化市荻垛经济开发区,江苏省泰州市兴化市荻垛经济开发区,91321281142615078C,郭兆芹,郭兆芹,郭文,江苏省药品监督管理局,王越,江苏省药品监督管理局泰州检查分局,易毅仁、唐慧鑫,2023-05-13,2020-09-02,N
15,安徽荷本生物科技有限公司,皖妆20190002,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）,太和县经济开发区钜阳路医疗器械产业园B3栋,太和经济开发区钜阳路医疗器械产业园B3栋,91341222MA2RFJ324G,张宾,刘欧,陈吉祥,安徽省药品监督管理局,杨士友,安徽省药品监督管理局,***,2024-01-14,2020-09-01,N
16,广州温达精细化工有限公司,粤妆20170254,一般液态单元（护发清洁类、护肤水类、染烫发类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类、染烫发类）,广州市白云区太和镇龙归夏良村高桥西路86号(自主申报),广州市白云区太和镇龙归夏良村高桥西路86号(自主申报),914401117661001286,陈云辉,张维克,杨琼理,广东省药品监督管理局,严振,白云区局太和市场监管所,监管机构指定人员,2022-02-15,2020-07-29,Y
17,广州市依莱丽化妆品有限公司,粤妆20170148,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类）,广州市从化太平镇元洲岗环亚工业园第四栋5楼,广州市从化太平镇元洲岗环亚工业园第四栋5楼,91440101498319357U,邹艳霞,邹艳霞,贺春禹,广东省药品监督管理局,严振,从化区局太平市场监管所,监管机构指定人员,2022-01-23,2020-07-29,Y
18,广州市白云区龙归名匠化妆品厂,粤妆20170040,一般液态单元（护发清洁类、护肤水类、染烫发类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类、染烫发类）,"广州市白云区均禾街罗岗村""下窜""宗润北街50号","广州市白云区均禾街罗岗村""下窜""宗润北街50号",92440101L00863060H,王国辉,王智,伍发载,广东省药品监督管理局,严振,白云区局均禾市场监管所,监管机构指定人员,2022-01-05,2020-07-29,Y
19,广州康芙莱生物科技有限公司,粤妆20170039,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区嘉禾街长红双和工业园二路9号A栋301房（自主申报）,广州市白云区嘉禾街长红双和工业园二路9号A栋301房（自主申报）,91440111583378610Q,王艳波,王艳波,曾凡连,广东省药品监督管理局,严振,白云区局嘉禾市场监管所,监管机构指定人员,2022-01-05,2020-07-29,Y
20,艾薇儿（广州）生物科技有限公司,粤妆20161081,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区江高镇沙溪西街3号B座,广州市白云区江高镇沙溪西街3号B座,91440111052554072N,徐志欢,唐银瑞,谢伟刚,广东省药品监督管理局,严振,白云区局江高市场监管所,监管机构指定人员,2021-11-08,2020-07-29,Y
21,广州诺德丽诗化妆品有限公司,粤妆20160978,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区太和镇民营科技园科园路1号二层,广州市白云区太和镇民营科技园科园路1号二层,914401115544094303,肖龙兴,肖龙兴,曹建平,广东省药品监督管理局,严振,白云区局太和市场监管所,监管机构指定人员,2021-10-23,2020-07-29,Y
22,广州德家日用品有限公司,粤妆20160895,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市越秀区环市东路326号之一广东亚洲国际大酒店11楼09单元,广州市番禺区桥南街陈涌工业区兴业大道承业路东2号,91440113329529444H,谢淑毅,刘泽道,胡建波,广东省药品监督管理局,严振,番禺区局桥南市场监管所,监管机构指定人员,2021-09-28,2020-07-29,Y
23,三力生物科技（大连）有限公司,辽妆20200004,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,辽宁省大连经济技术开发区金屏街70号,辽宁省大连经济技术开发区金屏街70号,91210213MA103GRB0P,朱洪伟,沈建华,苏宏宇,辽宁省药品监督管理局,潘勇,省药监局稽查二处,由稽查二处指定,2025-07-12,2020-07-29,N
24,熊津蕊痕化妆品（沈阳）有限公司,辽妆20180002,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）,辽宁省沈阳市浑南区文溯街17-3号,辽宁省沈阳市浑南区文溯街17-3号,91210112MA0UJ0788K,康烔薰,李永生,刘琰,辽宁省药品监督管理局,潘勇,沈阳市浑南区市场监督管理局,沈红睿 陈军,2023-03-25,2020-07-29,N
25,成都赛维芦荟制品有限公司,川妆20160029,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,成都高新区高朋大道11号第1幢第3层F3号,成都高新区高朋大道11号第1幢第3层F3号,915101002019950753,顾跃,顾跃,王莉,四川省药品监督管理局,曾继奎,四川省药品监督管理局,职能处室相关人员,2021-12-05,2020-07-28,N
26,浙江至元生物科技有限公司,浙妆20200022,一般液态单元（护发清洁类、护肤水类、啫喱类）；气雾剂及有机溶剂单元（气雾剂类）；膏霜乳液单元（护肤清洁类、护发类）； ,浙江省杭州市临安区锦城街道新溪桥129 号,浙江省杭州市临安区锦城街道新溪桥129号,91330185MA2GYUU54C ,赵小燕,赵小燕,俞超俊,浙江省药品监督管理局,苏志良,杭州市市场监督管理局、杭州市临安区市场监督管理局,李雨涵、赵向阳,2025-06-08,2020-07-27,Y
27,靓密码生物科技（珠海）有限公司,粤妆20200130,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,珠海市金湾区三灶镇定湾七路1号5#厂房二楼、三楼、四楼,珠海市金湾区三灶镇定湾七路1号5#厂房二楼、三楼、四楼,91440404MA54BA5GXX,张健雄,张健雄,洪树珠,广东省药品监督管理局,严振,珠海市市场监督管理局,徐滢波  沈林强,2025-07-26,2020-07-27,Y
28,佛山市洛丽奇科技有限公司,粤妆20200129,气雾剂及有机溶剂单元（有机溶剂类）,佛山市南海区狮山镇狮山科技园B区博爱东路14号(车间四)三楼(住所申报),佛山市南海区狮山镇狮山科技园B区博爱东路14号(车间四)三楼(住所申报),91440605MA543G4N34,吴志勇,吴志勇,黄豪欢,广东省药品监督管理局,严振,佛山市市场监督管理局 南海区市场监督管理局,由日常监督机构指派,2025-07-26,2020-07-27,Y
29,广东超妍御杰生物技术有限公司,粤妆20200128,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,佛山市南海区丹灶镇国家生态工业示范园区金石大道19号厂房B栋(住所申报),佛山市南海区丹灶镇国家生态工业示范园区金石大道19号厂房B栋(住所申报),91440605MA54FFMH1Y,邓轶杰,邓轶杰,范小玲,广东省药品监督管理局,严振,佛山市市场监督管理局 南海区市场监督管理局,由日常监督机构指派,2025-07-26,2020-07-27,Y
30,广州市珂晗生物科技有限公司,粤妆20180181,粉单元（散粉类、浴盐类）,广州市白云区钟落潭镇金盆村金盆北路258号,广州市白云区钟落潭镇金盆村金盆北路258号一楼,91440101MA5ARU2M7R,杨琴,杨琴,梁彩凤,广东省药品监督管理局,严振,白云区局钟落潭市场监管所,监管机构指定人员,2023-08-13,2020-07-27,Y
31,广州市华采化妆品有限公司,粤妆20180068,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广东省广州市白云区太和镇龙归夏良村沙田工业区1号,广东省广州市白云区太和镇龙归夏良村沙田工业区1号,914401116986559800,苏坚鹏,苏坚鹏,韩镇增,广东省药品监督管理局,严振,白云区局太和市场监管所,监管机构指定人员,2023-02-11,2020-07-27,Y
32,广州奥思生物科技有限公司,粤妆20161654,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区江高镇夏荷路8号A-1栋,广州市白云区江高镇夏荷路8号A-1栋,91440111MA59B3MG37,方绍荣,吴健,麦贤妃,广东省药品监督管理局,严振,白云区局江高市场监管所,监管机构指定人员,2021-12-19,2020-07-27,Y
33,广州市品智化妆品有限公司,粤妆20161097,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区龙河横路1号三楼自编301房,广州市白云区龙河横路1号三楼自编301房,914401116969102397,曹杰,曹杰,刘肇庆,广东省药品监督管理局,严振,白云区局太和市场监管所,监管机构指定人员,2021-11-09,2020-07-27,Y
34,珠海源安化妆品有限公司,粤妆20160940,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,珠海市金湾区红旗镇矿山工业区1#厂房4、5楼,珠海市金湾区红旗镇矿山工业区1#厂房4、5楼,914404005901238784,董勇维,高世华,刘謦菘,广东省药品监督管理局,严振,珠海市市场监督管理局,徐滢波  沈林强,2021-10-24,2020-07-27,Y
35,广州碧涛化妆品有限公司,粤妆20160750,一般液态单元（护发清洁类、护肤水类、染烫发类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类、染烫发类）,广州市白云区人和镇秀盛路鹤亭工业区北四路6号A座,广州市白云区人和镇秀盛路鹤亭工业区北四路6号A座,91440101729925585W,林泽锦,姚远,林泽锦,广东省药品监督管理局,严振,白云区局人和市场监管所,监管机构指定人员,2021-09-18,2020-07-27,Y
